"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","regulation","Group","Comparison"
"DUSP22",236.739360624802,0.126078183364629,0.167732642636099,0.751661581092237,0.452254599974829,0.992859472105535,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"IRF4",16.2164006591246,0.179154339011698,0.49358961421583,0.362962132613593,0.716633171863495,0.996645900110187,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"EXOC2",592.813882813372,-0.0169565597695782,0.101686680224743,-0.166753007690896,0.867564395290988,0.998056692297344,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"FOXQ1",180.555405055497,0.307107820651464,0.194579614060867,1.57831447109047,0.114493383039434,0.922501138988417,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"FOXF2",260.967825677444,-0.226777951971424,0.158280692883947,-1.43275814528876,0.15192696634274,0.936380842222966,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"FOXCUT",9.9287461326434,-0.910810704388679,0.69525489408543,-1.31003853714227,0.190182799053972,0.9584269816426,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"FOXC1",846.66010608439,0.422401725333331,0.246971808616437,1.71032365070196,0.0872060406806757,0.896887043720329,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"GMDS",288.009583462028,0.192690287952391,0.242760126709078,0.793747682391471,0.427342335369552,0.992859472105535,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"GMDS-DT",15.5477121536592,0.0354968221557294,0.451599349443182,0.0786024652150112,0.937348826650028,0.998056692297344,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"MYLK4",9.27257365496983,0.504343256697756,0.650438821492776,0.775389229597756,0.43810969744495,0.992859472105535,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"WRNIP1",700.68752911109,0.00490109061471367,0.0948885008079635,0.0516510491048073,0.958806742291289,0.998056692297344,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"SERPINB1",2424.349039879,0.375482008490237,0.382612648948349,0.981363291366056,0.326413621705248,0.980074954553508,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"SERPINB9",1883.02182505876,0.224220939728221,0.350695779257061,0.639360246089151,0.522588604226003,0.993684204407797,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"SERPINB6",1558.17004016837,0.0618729453538476,0.0705539185077851,0.876959730408458,0.380508511192266,0.992859472105535,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"LINC01011",13.7662245823318,-0.965449369250256,0.545764691399223,-1.76898466402261,0.0768964339102253,0.884339740920909,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"NQO2",450.526541022563,0.0991575763074742,0.122080127620137,0.812233557094663,0.41665762766354,0.992859472105535,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"HTATSF1P2",298.714343032614,-0.0584562674986048,0.142190885992542,-0.411111212160749,0.680990988885553,0.996645900110187,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"LOC101927759",9.35986832367986,0.713115455638874,0.6373256016001,1.1189185776446,0.263174876665763,0.966470423353397,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"RIPK1",794.533957489323,0.223635858821391,0.171810908572609,1.30163946328751,0.193039662761504,0.9584269816426,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"BPHL",251.626325583016,-0.0130995453645036,0.152492901656754,-0.0859026565970219,0.931543799660582,0.998056692297344,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"TUBB2A",1021.23964900001,-0.217404406434952,0.196892997310927,-1.10417541204695,0.26951705341705,0.966470423353397,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"TUBB2B",224.910033241795,-0.0871504923353585,0.135019398481264,-0.645466453825537,0.518624950752538,0.993684204407797,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"PSMG4",188.845760228258,0.129720647767527,0.173087730044929,0.749450280120117,0.453585855463482,0.992859472105535,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"SLC22A23",364.27995187933,0.103656923899873,0.125846540342718,0.823677183477468,0.410123007154508,0.992859472105535,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"LOC100507336",10.4395342956289,-0.313720913997874,0.649427483473564,-0.483073048156029,0.629043870121139,0.996645900110187,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"PXDC1",850.638014769322,0.0885429951821637,0.133135962608687,0.665056934634629,0.506014078064612,0.993302211359974,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"FAM50B",71.336622119787,0.321117285897275,0.280536516115476,1.14465414465009,0.252352453710936,0.966470423353397,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"LOC107986558",53.0317230886274,0.409495641977894,0.53510567324398,0.765261260444879,0.444115987350172,0.992859472105535,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"LOC124901245",12.9532559655584,0.148199921595112,0.632371138406278,0.234355922644747,0.814708674471975,0.996645900110187,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"PRP4K",1536.74949341487,0.0532454463709543,0.0936711295580563,0.568429639123262,0.569743269590818,0.996219315932303,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"ECI2",343.08185508482,0.104596134056318,0.110830922834533,0.94374504318147,0.345299950320024,0.987086946639764,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"CDYL",1012.0278609324,-0.132945386479804,0.0976630538780646,-1.36126591582719,0.173429670114782,0.950790370781639,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
