"","AHT_CIM7_R3","AHT_CIM7_R2","AHT_CIM7_R1","AHT_None_R3","AHT_None_R2","AHT_None_R1","WT_CIM7_R3","WT_CIM7_R2","WT_CIM7_R1","WT_None_R3","WT_None_R2","WT_None_R1"
"AGRN",16376.608279538,18157.2322166559,15975.8451613322,11948.5788051178,15899.7957253216,13272.0766971016,17615.6297031129,19732.2724522802,15643.5499051826,17419.584719902,18848.1445422619,15455.3652243616
"LOC100288175",207.181909741134,245.913835962299,193.148618943365,213.616594224595,228.597501696201,230.615539669478,210.976805135321,210.483481132565,208.382206158474,251.01120547201,267.2199832105,183.302907515245
"LOC105378948",10.5570399868094,19.0078327313854,11.7383138584366,20.0538027231253,30.996271416434,15.2389123129611,22.4046164745474,22.1561559086911,13.0238878849046,14.8234963861423,19.4134175836688,15.6727393042775
"RNF223",1.31962999835117,17.8198431856739,7.46983609173236,6.10333126355986,7.7490678541085,6.09556492518445,24.2716678474263,21.4176173784013,15.8147210030985,6.91763164686641,11.4196574021581,17.7170096483137
"C1orf159",229.615619713104,204.334201862394,188.880141176661,180.484224508127,180.811583262532,184.898802730595,179.236931796379,202.359557299378,177.683041858342,201.599550851535,247.806565626831,185.347177859282
"LOC124903819",0,0,0,0,0,0,0,0,0,0,0,0
"LOC124903820",0,0,0,0,0,0,0,0,0,0,3.42589722064743,0
"LINC01342",0,0,0,0,0,0,0,0,0,0,0,0
"LOC124903818",7.91777999010703,2.37597909142318,4.2684777667042,2.61571339866851,1.29151130901808,8.12741990024593,2.80057705931842,4.43123118173821,0.930277706064615,2.96469927722846,1.14196574021581,2.72569379204826
"MIR200B",0,0,0,0,0,0,0,0,0,0,0,0
"MIR200A",0,0,0,0,0,0,0,0,0,0,0,0
"MIR429",0,0,0,0,0,0,0,0,0,0,0,0
"TTLL10-AS1",0,0,0,0,0,0,0,0,0,0,0,0
"TTLL10",0,0,0,0,0,0,0,0.738538530289702,0,0.988233092409487,1.14196574021581,0
"TNFRSF18",1.31962999835117,1.18798954571159,2.1342388833521,0,0,0,2.80057705931842,0,0.930277706064615,0.988233092409487,2.28393148043162,0.681423448012065
"TNFRSF4",1.31962999835117,0,0,2.61571339866851,0,0,0.933525686439475,1.4770770605794,0.930277706064615,0,1.14196574021581,2.72569379204826
"SDF4",2841.16338645007,2702.67621649387,3078.63958923541,2507.59724485688,2892.98533220051,2835.4536176983,2806.17821343706,2780.59756654073,3299.69502341119,2927.1464197169,2733.86598207665,3061.63555191821
"B3GALT6",391.930109510298,413.420361907633,369.223326819914,320.860843570004,294.464578456123,325.096796009837,363.141492024956,433.522117280055,351.644972892425,375.528575115605,382.558522972296,349.570228830189
"C1QTNF12",10.5570399868094,7.12793727426954,2.1342388833521,17.4380893244568,2.58302261803617,5.0796374376537,10.2687825508342,11.0780779543455,9.30277706064615,7.9058647392759,9.13572592172648,5.45138758409652
"UBE2J2",768.024659040382,667.650124689914,574.110259621715,839.644000972593,669.002858071367,618.699839906221,677.739648355059,740.754145880571,709.801889727301,688.798465409413,689.747307090349,675.290636979956
"LINC01786",17.1551899785652,20.195822277097,12.8054333001126,13.9504714595654,9.04057916312658,11.1752023628381,17.73698804235,16.9863861966631,26.9780534758738,11.8587971089138,18.271451843453,8.17708137614478
"SCNN1D",29.0318599637258,41.5796340999057,28.8122249252534,40.1076054462505,33.5792940344702,32.5096796009837,30.8063476525027,45.0508503476718,26.0477757698092,36.564624419151,49.1045268292798,39.5225599846998
"ACAP3",287.679339640555,239.973888233741,364.95484905321,365.327971347369,275.091908820852,345.415345760452,316.465207702982,317.571568024572,383.274414898622,357.740379452234,319.750407260427,314.136209533562
"MIR6726",0,0,0,0,0,0,0,0,0,0,0,0
"SNORD167",0,1.18798954571159,0,2.61571339866851,0,0,0,0,0,0,1.14196574021581,0
"PUSL1",154.396709807087,152.062661851084,135.524169092859,156.070899453888,157.564379700206,207.249207456271,156.832315321832,144.015013406492,177.683041858342,144.282031491785,172.436826772587,149.913158562654
"INTS11",917.142848854064,874.36030564373,903.850167099615,935.553492257105,1055.16473946777,865.570219376191,1019.41004959191,1022.87586445124,893.996875528095,917.080309756004,939.837804197612,874.947707247491
"MIR6727",0,0,0,0,0,0,0,0,0,0,0,0
"CPTP",246.770809691669,258.981720965127,281.719532602477,231.926588015275,275.091908820852,249.918161932562,316.465207702982,282.860257100956,301.409976764935,278.681732059475,269.503914690931,290.967812301152
"TAS1R3",6.59814999175586,4.75195818284636,8.53695553340841,5.23142679733703,3.87453392705425,9.14334738777667,4.66762843219737,14.770770605794,9.30277706064615,9.88233092409487,12.5616231423739,6.81423448012065
"DVL1",1141.47994857376,1051.37074795476,1206.91208853561,1295.65003680714,1171.4007572794,1317.65795132737,1229.45332904079,1175.01480169092,1401.92850303938,1187.8561770762,1197.92206148638,1320.59864224738
"MIR6808",0,0,0,0,0,0,0,0,0,0,0,0
"MXRA8",26.3925999670234,32.0757177342129,28.8122249252534,51.4423635071474,21.9556922533074,31.493752113453,36.4075017711395,21.4176173784013,43.7230521850369,34.588158234332,25.1232462847478,36.7968661926515
"AURKAIP1",1043.82732869578,892.180148829404,1139.68356371002,1003.56204062249,949.260812128291,1170.34846563541,1020.34357527835,997.765554421387,1166.56824340503,1034.68004775273,959.251221781281,1123.6672657719
"CCNL2",1178.4295885276,1215.31330526296,876.105061616038,1143.06675521814,1078.4119430301,823.917192387431,1063.28575685456,1138.08787517643,876.321599112868,1056.42117578574,1064.31206988114,885.850482415684
"MRPL20-AS1",163.634119795545,138.994776848256,150.463841276323,167.405657514785,202.767275515839,147.309485691957,178.30340610994,203.098095829668,179.543597270471,167.999625709613,171.294861032372,157.408816490787
"MRPL20",614.947579231646,565.483023758717,589.04993180518,620.79597995066,630.257518800824,551.648625729192,616.126953050053,639.574367230882,638.170506360326,635.4338784193,629.223122858911,631.679536307184
"MRPL20-DT",60.7029799241539,38.0156654627709,65.0942859422391,51.4423635071474,59.4095202148318,67.0512141770289,36.4075017711395,62.0372365443349,57.6772177760062,56.3292862673408,36.5429036869059,67.4609213531944
"ANKRD65",0,1.18798954571159,0,0,0,0,0,1.4770770605794,0,0,0,0
"ANKRD65-AS1",0,0,0,0,0,0,0,0,0,0,0,0
"TMEM88B",1.31962999835117,1.18798954571159,0,0,0,0,0,0,0.930277706064615,0,0,0.681423448012065
"LINC01770",0,0,0,0,0,0,0.933525686439475,0,0,0,0,0
"LOC107985729",5.27851999340469,0,0,0,0,0,0,0,0.930277706064615,0.988233092409487,0,0
"VWA1",431.519009460833,468.067881010367,364.95484905321,386.253678536717,446.862912920257,341.351635810329,511.572076168832,516.976971202791,430.718577907917,476.328350541373,486.477405331935,341.393147454045
"ATAD3C",2.63925999670234,3.56396863713477,2.1342388833521,4.35952233111419,0,4.06370995012296,2.80057705931842,2.21561559086911,6.51194394245231,3.95293236963795,1.14196574021581,4.08854068807239
"ATAD3B",30.351489962077,15.4438640942507,34.1478221336336,23.5414205880166,50.3689410517052,28.4459696508607,25.2051935338658,25.8488485601396,39.0716636547138,39.5293236963795,34.2589722064743,25.8940910244585
"ATAD3A",723.157239096442,617.754563770027,865.433867199278,692.292146180933,641.881120581987,845.251669625576,630.129838346645,671.331524033339,848.413267930929,675.951435208089,624.655259898048,842.239381742912
"TMEM240",1.31962999835117,0,1.06711944167605,4.35952233111419,0,4.06370995012296,2.80057705931842,1.4770770605794,0,6.91763164686641,2.28393148043162,4.08854068807239
"SSU72",1385.61149826873,1367.37596711404,1516.37672662167,1293.03432340847,1288.92828640005,1462.93558204427,1338.67583435421,1429.07205611057,1472.62960870029,1324.23234382871,1427.45717526976,1489.59165735437
"FNDC10",76.538539904368,52.27154001131,65.0942859422391,96.781395750735,56.8264975967956,69.0830691520904,57.8785925592474,96.0100089376612,80.0038827215569,72.1410157458926,70.8018758933802,60.6466868730738
"LOC105378586",0,1.18798954571159,0,0,0,0,2.80057705931842,2.21561559086911,0,0,0,0
"MIB2",113.488179858201,121.174933662582,91.7722719841404,140.376619061877,118.819040429664,113.783878603443,116.690710804934,140.322320755043,80.9341604276215,150.211430046242,129.042128644387,91.3107420336167
"LOC124903821",9.2374099884582,9.50391636569272,0,8.71904466222838,7.7490678541085,1.01592748753074,16.8034623559105,11.8166164846352,3.72111082425846,8.89409783168538,17.1294861032372,0.681423448012065
"MMP23B",0,0,1.06711944167605,3.48761786489135,0,0,1.86705137287895,0,1.86055541212923,0.988233092409487,1.14196574021581,0
"CDK11B",777.26206902884,630.822448772854,873.970822732686,664.391203261802,681.917971161548,786.327875348793,788.829205041356,834.548539227363,821.435214455055,813.315835053008,669.191923766465,921.284501712312
